date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:07:09	53563/53563	---M--	200	added ('OK')	application/javascript	date:Wed,%2001%20Feb%202017%2013:17:56%20GMT	http://arvixe.webdgallery.com/demo/vendor/jquery.mb.YTPlayer-master/dist/jquery.mb.YTPlayer.min.js	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/vendor/jquery.mb.YTPlayer-master/dist/jquery.mb.YTPlayer.min.js	(from )
14:07:09	2312/2312	---M--	200	added ('OK')	application/javascript	date:Fri,%2013%20Jan%202017%2016:14:46%20GMT	http://arvixe.webdgallery.com/demo/js/color-switcher.js	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/js/color-switcher.js	(from )
14:07:12	13887/13887	---M--	200	added ('OK')	application/javascript	date:Tue,%2005%20Nov%202019%2017:18:32%20GMT	http://arvixe.webdgallery.com/demo/js/main.js	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/js/main.js	(from )
14:07:13	23424/23424	---M--	200	added ('OK')	x-font/woff	date:Fri,%2019%20Aug%202016%2013:37:34%20GMT	http://arvixe.webdgallery.com/demo/vendor/bootstrap/fonts/glyphicons-halflings-regular.woff	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/vendor/bootstrap/fonts/glyphicons-halflings-regular.woff	(from http://arvixe.webdgallery.com/demo/)
14:07:17	108738/108738	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2019%20Aug%202016%2013:37:34%20GMT	http://arvixe.webdgallery.com/demo/vendor/bootstrap/fonts/glyphicons-halflings-regular.svg	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/vendor/bootstrap/fonts/glyphicons-halflings-regular.svg	(from http://arvixe.webdgallery.com/demo/)
14:07:17	45404/45404	---M--	200	added ('OK')	x-font/ttf	date:Fri,%2019%20Aug%202016%2013:37:34%20GMT	http://arvixe.webdgallery.com/demo/vendor/bootstrap/fonts/glyphicons-halflings-regular.ttf	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/vendor/bootstrap/fonts/glyphicons-halflings-regular.ttf	(from http://arvixe.webdgallery.com/demo/)
14:07:30	77160/77160	---M--	200	added ('OK')	application/font-woff2	date:Thu,%2022%20Dec%202016%2015:50:34%20GMT	http://arvixe.webdgallery.com/demo/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/vendor/font-awesome/fonts/fontawesome-webfont3e6e.woff2	(from http://arvixe.webdgallery.com/demo/)
14:07:35	98024/98024	---M--	200	added ('OK')	x-font/woff	date:Thu,%2022%20Dec%202016%2015:50:34%20GMT	http://arvixe.webdgallery.com/demo/vendor/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/vendor/font-awesome/fonts/fontawesome-webfont3e6e.woff	(from http://arvixe.webdgallery.com/demo/)
14:07:39	444379/444379	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2022%20Dec%202016%2015:50:34%20GMT	http://arvixe.webdgallery.com/demo/vendor/font-awesome/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/vendor/font-awesome/fonts/fontawesome-webfont3e6e.svg	(from http://arvixe.webdgallery.com/demo/)
14:07:40	676/676	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2019%20Nov%202020%2013:07:39%20GMT	http://arvixe.webdgallery.com/demo/vendor/owl.carousel/assets/owl.video.play.png	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/vendor/owl.carousel/assets/owl.video.play.41.delayed	(from http://arvixe.webdgallery.com/demo/)
14:07:41	3250/3250	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2007%20Jan%202017%2006:43:40%20GMT	http://arvixe.webdgallery.com/demo/vendor/jquery.mb.YTPlayer-master/dist/css/font/ytp-regular.eot	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/vendor/jquery.mb.YTPlayer-master/dist/css/font/ytp-regular.eot	(from http://arvixe.webdgallery.com/demo/)
14:07:42	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2022%20Dec%202016%2015:50:34%20GMT	http://arvixe.webdgallery.com/demo/vendor/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/vendor/font-awesome/fonts/fontawesome-webfont3e6e.eot	(from http://arvixe.webdgallery.com/demo/)
